anio,jugadores,tiempo,edad,estrategia,nombre,categorias,sistemas,familia,nota,cantidad,desviacion
2013,2–4,90,10+,3.00,Amerigo,Nautical|#|Renaissance,Action Point Allowance System|#|Grid Movement|#|Modular Board|#|Tile Placement,Colonial Theme|#|Crowdfunding: Kickstarter,7499,3533,1.25
2013,2–5,50–125,13+,3.57,Bruxelles 1893,Economic,Auction/Bidding|#|Card Drafting|#|Modular Board|#|Worker Placement,Cities: Brussels|#|Country: Belgium,7642,2609,1.29
2014,3–8,15,12+,1.30,Spyfall,Bluffing|#|Deduction|#|Humor|#|Party Game|#|Spies/Secret Agents,Acting|#|Role Playing|#|Voting,N/A,7269,8618,1.35
2003,3–5,180,12+,3.45,A Game of Thrones (first edition),Bluffing|#|Fantasy|#|Negotiation|#|Novel-based|#|Political|#|Wargame,Area Movement|#|Auction/Bidding|#|Hand Management|#|Memory|#|Player Elimination|#|Simultaneous Action Selection|#|Variable Player Powers,A Game of Thrones: The Board Game|#|A Song of Ice and Fire,7306,9196,1.56
2011,2–5,75,10+,2.44,Airlines Europe,Aviation / Flight|#|Economic,Card Drafting|#|Route/Network Building|#|Set Collection|#|Stock Holding,N/A,7373,5135,1.17
2013,1–5,120–240,13+,2.95,Firefly: The Game,Movies / TV / Radio theme|#|Science Fiction|#|Space Exploration|#|Travel,Area Movement|#|Card Drafting|#|Dice Rolling|#|Pick-up and Deliver|#|Take That|#|Trading|#|Variable Player Powers,Firefly: The Game|#|Solitaire Games|#|TV Series: Firefly,7411,6154,1.53
2002,3–5,150,12+,3.31,Wallenstein (first edition),Economic|#|Renaissance|#|Territory Building,Action / Movement Programming|#|Action Point Allowance System|#|Area Control / Area Influence|#|Area Movement|#|Simultaneous Action Selection|#|Variable Phase Order,Country: Germany,7530,326,1.45
2009,3–5,120,12+,3.52,Automobile,Economic|#|Industry / Manufacturing,Commodity Speculation|#|Variable Player Powers,Automotive|#|Treefrog Line,7383,4629,1.39
2012,3–4,150,17+,2.68,Spartacus: A Game of Blood & Treachery,Ancient|#|Fighting|#|Movies / TV / Radio theme|#|Negotiation,Auction/Bidding|#|Betting/Wagering|#|Dice Rolling|#|Grid Movement|#|Hand Management|#|Trading|#|Variable Player Powers,Ancient Rome|#|Gladiators,7482,4324,1.51
2004,2–7,180–240,13+,3.60,Struggle of Empires,Age of Reason|#|Civilization|#|Fighting|#|Political|#|Territory Building,Area Control / Area Influence|#|Area Movement|#|Auction/Bidding|#|Dice Rolling,Admin: Better Description Needed!|#|Colonial Theme,7518,3351,1.46
2014,1–4,120,12+,3.36,Shadows of Brimstone: City of the Ancients,Adventure|#|American West|#|Exploration|#|Fighting|#|Horror|#|Miniatures,Co-operative Play|#|Dice Rolling|#|Grid Movement|#|Modular Board|#|Role Playing|#|Variable Player Powers,Admin: Better Description Needed!|#|Campaign Games|#|Crowdfunding: Kickstarter|#|Shadows of Brimstone,8075,1843,1.59
2007,2–4,60,10+,2.54,Vikings,Economic|#|Medieval|#|Nautical|#|Territory Building,Auction/Bidding|#|Tile Placement,Vikings,7306,6606,1.19
2014,2–6,30–40,10+,1.80,Colt Express,American West|#|Fighting|#|Trains,Action / Movement Programming|#|Hand Management|#|Memory|#|Modular Board|#|Take That|#|Variable Player Powers,3D Games,7255,99,1.19
2012,2–4,60–90,14+,2.74,Legends of Andor,Adventure|#|Fantasy|#|Fighting|#|Puzzle,Area Movement|#|Co-operative Play|#|Dice Rolling|#|Variable Player Powers,Campaign Games|#|Legends of Andor,7332,6784,1.41
2016,2–8,45–60,14+,2.02,Captain Sonar,Deduction|#|Fighting|#|Nautical|#|Real-time|#|Wargame,Grid Movement|#|Partnerships|#|Secret Unit Deployment|#|Simultaneous Action Selection,N/A,7868,1917,1.32
