anio,jugadores,tiempo,edad,estrategia,nombre,categorias,sistemas,familia,nota,cantidad,desviacion
2011,2–4,30–60,12+,2.88,Tournay,Card Game|#|City Building|#|Economic|#|Medieval,Card Drafting|#|Hand Management|#|Worker Placement,Country: Belgium|#|Tableau Building,7091,221,1.21
2013,1–4,180,12+,3.69,A Distant Plain,Modern Warfare|#|Wargame,Area Control / Area Influence|#|Area Movement|#|Dice Rolling|#|Variable Phase Order|#|Variable Player Powers,Country: Afghanistan|#|GMT COIN Series|#|Solitaire Games|#|Solitaire Wargames,8032,735,1.30
2015,1–5,10,10+,1.75,FUSE,Action / Dexterity|#|Dice|#|Real-time,Co-operative Play|#|Dice Rolling|#|Pattern Building,N/A,7234,1682,1.17
2015,2–4,30–60,8+,2.08,New York 1901,City Building,Card Drafting|#|Tile Placement,Cities: New York (New York USA)|#|Mensa Select,7026,2641,1.19
1997,2–4,90,12+,2.93,Löwenherz,Medieval|#|Political,Area Control / Area Influence|#|Auction/Bidding|#|Modular Board,Admin: Better Description Needed!,7088,2168,1.35
2013,2–5,35,8+,1.83,Carcassonne: South Seas,Economic|#|Nautical,Area Control / Area Influence|#|Set Collection|#|Tile Placement,Carcassonne|#|Tropical theme,7202,1777,1.09
2016,2–5,60–120,14+,3.04,Conan,Adventure|#|Fantasy|#|Fighting|#|Miniatures|#|Novel-based,Action Point Allowance System|#|Area Movement|#|Co-operative Play|#|Dice Rolling|#|Player Elimination|#|Variable Phase Order|#|Variable Player Powers,Crowdfunding: Kickstarter,8360,852,1.42
2013,2–4,120,13+,3.21,City of Iron,Card Game|#|City Building|#|Civilization|#|Economic|#|Fantasy,Action Point Allowance System|#|Area Control / Area Influence|#|Card Drafting|#|Deck / Pool Building|#|Hand Management|#|Variable Player Powers,Admin: Better Description Needed!|#|Crowdfunding: Kickstarter|#|Steampunk,7378,1331,1.26
2004,2,60,11+,2.88,Dungeon Twister,Adventure|#|Exploration|#|Fantasy|#|Fighting|#|Maze,Action Point Allowance System|#|Grid Movement|#|Hand Management|#|Modular Board|#|Secret Unit Deployment|#|Tile Placement|#|Variable Player Powers,Dungeon Twister,6856,5143,1.51
2007,2–4,60–120,12+,3.23,Amyitis,Ancient,Area Control / Area Influence,Ystari originals,6998,2583,1.27
2007,2–6,20–30,12+,1.51,Parade,Card Game|#|Novel-based,Hand Management|#|Set Collection,Card Games: Card Fishing|#|Characters: Alice In Wonderland|#|Z-Man / Filosofia deluxe card game series,6917,3313,1.18
1980,2–6,30–240,12+,3.46,Titan,Fantasy|#|Fighting,Dice Rolling|#|Player Elimination|#|Roll / Spin and Move|#|Secret Unit Deployment|#|Set Collection,Valley Games Classic Line,6970,3492,1.78
2000,3–4,60,12+,2.32,Meuterer,Card Game|#|Fighting|#|Nautical|#|Pirates,Card Drafting|#|Hand Management|#|Modular Board|#|Point to Point Movement,Admin: Better Description Needed!|#|Colonial Theme,6951,2955,1.24
2015,2,60,14+,2.13,Dungeons & Dragons Dice Masters: Battle for Faerûn,Collectible Components|#|Dice|#|Fantasy|#|Fighting,Deck / Pool Building|#|Dice Rolling|#|Variable Player Powers,CDGs (Collectible Dice Games)|#|Dice Masters|#|Dungeons & Dragons|#|Quarriors Pool Building system,7533,1084,1.38
2006,3–5,60,10+,2.29,Cleopatra and the Society of Architects,Ancient,Area Enclosure|#|Auction/Bidding|#|Card Drafting|#|Dice Rolling|#|Hand Management|#|Memory|#|Set Collection|#|Tile Placement,3D Games|#|Country: Egypt|#|Polyominoes,6813,549,1.15
2010,2–4,180,13+,3.19,Wars of the Roses: Lancaster vs. York,Civil War|#|Medieval|#|Political|#|Wargame,Action / Movement Programming|#|Area Control / Area Influence|#|Area Movement|#|Card Drafting|#|Partnerships|#|Secret Unit Deployment|#|Simultaneous Action Selection,Country: England|#|Wars of the Roses,7360,1306,1.44
2015,2–4,45–60,13+,2.50,Gold West,American West|#|Economic|#|Territory Building,Area Control / Area Influence|#|Modular Board|#|Route/Network Building|#|Set Collection,Crowdfunding: Kickstarter,7541,1032,1.01
2006,2–4,45,10+,2.57,Mykerinos,Exploration,Area Control / Area Influence|#|Modular Board,Archaeology|#|Country: Egypt|#|Ystari originals,6885,354,1.17
2008,3–8,30,13+,1.10,Say Anything,Humor|#|Party Game,Betting/Wagering|#|Paper-and-Pencil,Say Anything,6866,4176,1.33
2015,2,15–20,8+,1.62,Tides of Time,Ancient|#|Card Game,Card Drafting|#|Set Collection,N/A,6894,3542,1.13
2011,2–4,40–60,10+,2.18,Santiago de Cuba,Economic,Commodity Speculation|#|Dice Rolling|#|Memory|#|Modular Board|#|Pick-up and Deliver|#|Point to Point Movement|#|Worker Placement,Cities: Santiago Cuba|#|Country: Cuba|#|Eggertspiele Cuba series,6948,3076,1.14
2008,2–6,360,12+,3.14,Axis & Allies Anniversary Edition,Wargame|#|World War II,Area Control / Area Influence|#|Area Movement|#|Dice Rolling|#|Partnerships,Axis & Allies,7369,1641,1.82
2011,3–7,60–75,12+,2.28,Dark Moon,Bluffing|#|Deduction|#|Dice|#|Movies / TV / Radio theme|#|Print & Play|#|Science Fiction|#|Space Exploration|#|Spies/Secret Agents,Dice Rolling|#|Partnerships|#|Role Playing|#|Variable Player Powers,N/A,7158,1797,1.30
2014,2–6,30,8+,1.24,Deep Sea Adventure,Dice|#|Exploration|#|Nautical|#|Party Game,Pick-up and Deliver|#|Press Your Luck|#|Roll / Spin and Move,N/A,7141,1872,1.22
2013,2–4,20,6+,1.05,Coconuts,Action / Dexterity|#|Children's Game,Press Your Luck,Animals: Apes / Monkeys|#|Crowdfunding: Kickstarter,7147,1935,1.24
1998,2–4,45,10+,1.73,Mystery Rummy: Jack the Ripper,Card Game|#|Murder/Mystery,Hand Management|#|Set Collection|#|Voting,Card Games: Draw and Discard Games|#|Characters: Jack the Ripper|#|Mystery Rummy|#|Rummy Games,6978,281,1.28
2016,2–4,30–60,12+,2.50,Clank!,Fantasy,Deck / Pool Building|#|Player Elimination|#|Point to Point Movement|#|Press Your Luck,N/A,8131,745,1.15
2004,2–4,180,12+,2.91,Doom: The Boardgame,Dice|#|Exploration|#|Fighting|#|Horror|#|Miniatures|#|Science Fiction|#|Video Game Theme,Dice Rolling|#|Modular Board|#|Partnerships|#|Variable Player Powers,Campaign Games,6914,4517,1.48
2004,2–4,30,10+,1.73,Wings of War: Famous Aces,Aviation / Flight|#|Card Game|#|Wargame|#|World War I,Action / Movement Programming|#|Player Elimination|#|Simulation|#|Simultaneous Action Selection,Cities: Lugo di Romagna|#|Wings of Glory / Wings of War,6874,4343,1.34
2012,2,30,10+,2.56,Le Havre: The Inland Port,Economic|#|Industry / Manufacturing,Action Point Allowance System,Le Havre|#|Lookout Games Fur Zwei Spieler Series,7037,2205,1.21
2010,2–4,60,12+,3.72,Warmachine Prime Mk II,Fantasy|#|Miniatures|#|Wargame,Dice Rolling|#|Variable Player Powers,Warmachine,7950,766,1.61
1977,2–6,90,12+,2.38,Cosmic Encounter,Bluffing|#|Negotiation|#|Science Fiction,Hand Management|#|Variable Player Powers,Admin: Better Description Needed!|#|Cosmic Encounter,6931,3587,1.80
2010,2–4,45,9+,2.35,Asara,Fantasy|#|Medieval,Hand Management|#|Pattern Building|#|Worker Placement,N/A,7058,2061,1.09
2014,3–5,75,14+,2.67,Dogs of War,Abstract Strategy|#|Renaissance|#|Wargame,Partnerships|#|Worker Placement,Crowdfunding: Kickstarter|#|Steampunk,7575,1011,1.26
2015,2–6,30,8+,1.42,Celestia,Adventure|#|Aviation / Flight|#|Card Game,Betting/Wagering|#|Press Your Luck,3D Games,7146,1884,1.15
2004,2–4,90,12+,3.43,In the Shadow of the Emperor,Medieval|#|Political,Area Control / Area Influence|#|Card Drafting|#|Voting,Country: Holy Roman Empire,6954,2689,1.30
2011,1–6,45,14+,1.75,Dungeon Fighter,Action / Dexterity|#|Exploration|#|Fantasy|#|Fighting|#|Humor,Card Drafting|#|Co-operative Play|#|Dice Rolling|#|Modular Board|#|Point to Point Movement|#|Variable Player Powers,Solitaire Games,6907,3535,1.45
2015,1–4,30–60,14+,2.36,The Bloody Inn,Economic|#|Horror|#|Mature / Adult,Hand Management,Country: France,7014,242,1.25
2003,2–3,720,14+,3.78,Europe Engulfed,Wargame|#|World War II,Action Point Allowance System|#|Area Movement|#|Dice Rolling|#|Secret Unit Deployment,Block wargames,7534,1203,1.70
1998,2–6,60,10+,2.16,Elfenland,Fantasy|#|Travel,Card Drafting|#|Hand Management|#|Point to Point Movement|#|Route/Network Building,Elfen Travel|#|Fairies Elves and Pixies,6758,6565,1.25
2004,2–6,90,10+,3.52,The Scepter of Zavandor,Economic|#|Fantasy,Auction/Bidding|#|Set Collection|#|Variable Player Powers,Admin: Better Description Needed!|#|Zavandor,7032,2289,1.52
2012,1–2,30,13+,2.13,Ascension: Immortal Heroes,Card Game|#|Fantasy,Card Drafting|#|Deck / Pool Building|#|Hand Management,Admin: Better Description Needed!|#|Ascension Deck Building Game|#|Solitaire Games,7475,1133,1.36
2004,2–5,360,12+,3.31,Sword of Rome,Ancient|#|Political|#|Territory Building|#|Wargame,Campaign / Battle Card Driven|#|Dice Rolling|#|Point to Point Movement|#|Variable Player Powers,Ancient Rome|#|Country: Italy,7325,1332,1.40
2009,2–5,180,12+,3.54,Rise of Empires,Ancient|#|Civilization,Area Control / Area Influence|#|Variable Phase Order|#|Worker Placement,N/A,7125,1807,1.37
2014,2–5,30,8+,1.82,Medieval Academy,Medieval,Card Drafting|#|Hand Management,N/A,7104,1881,1.18
1993,3–8,60,10+,1.94,Sticheln,Card Game,Hand Management|#|Simultaneous Action Selection|#|Trick-taking,N/A,7024,2201,1.31
2006,2,30,10+,1.85,Ingenious: Travel Edition,Abstract Strategy,Hand Management|#|Pattern Building|#|Tile Placement,Ingenious|#|Kosmos two-player series,7155,1708,1.19
2012,2–4,20,10+,2.69,Puzzle Strike (Third Edition),Card Game|#|Fantasy|#|Video Game Theme,Deck / Pool Building|#|Hand Management|#|Variable Player Powers,Admin: Better Description Needed!|#|Fantasy Strike,7424,1267,1.67
2000,3–5,60–90,10+,2.47,Aladdin's Dragons,Arabian|#|Bluffing|#|Fantasy|#|Medieval,Auction/Bidding|#|Set Collection|#|Worker Placement,Animals: Dragons|#|Characters: Aladdin,6942,2833,1.26
2012,2,45,12+,2.58,Pixel Tactics,Card Game|#|Fantasy|#|Video Game Theme,Hand Management|#|Variable Player Powers,Level 99 Games Minigame Library|#|Pixel Tactics|#|World of Indines,7151,183,1.35
2001,2,60,12+,2.47,Starship Catan,Card Game|#|Exploration|#|Science Fiction|#|Space Exploration,Dice Rolling|#|Memory|#|Press Your Luck|#|Trading,Catan|#|Kosmos two-player series,6859,3738,1.30
2015,3–6,120–240,13+,3.71,Fief: France 1429,Medieval|#|Negotiation|#|Political|#|Territory Building,Area Control / Area Influence|#|Dice Rolling|#|Partnerships|#|Trading|#|Voting,Crowdfunding: Giochistarter|#|Crowdfunding: Kickstarter|#|Crowdfunding: Spieleschmiede,7527,1131,1.70
2005,2,30,8+,2.10,Aton,Ancient,Area Control / Area Influence|#|Hand Management|#|Simultaneous Action Selection,Country: Egypt|#|Queen Small Box,6910,2894,1.22
2014,1–4,20–40,14+,2.03,Nations: The Dice Game,Civilization|#|Dice,Dice Rolling,Nations|#|Solitaire Games,6958,252,1.25
2012,3–4,75,10+,2.38,Star Trek: Catan,Movies / TV / Radio theme|#|Negotiation|#|Science Fiction,Dice Rolling|#|Hand Management|#|Modular Board|#|Route/Network Building|#|Trading,Catan|#|Star Trek,7100,2044,1.33
2009,3–5,105,12+,3.35,Power Struggle,Humor|#|Negotiation,Area Control / Area Influence|#|Variable Player Powers,N/A,7061,2001,1.34
2008,2–5,45,10+,2.10,Aquaretto,Animals,Set Collection|#|Tile Placement,Coloretto Series,7032,2219,1.12
2011,3–5,75,12+,2.97,Olympos,Ancient|#|Civilization|#|Fighting|#|Mythology|#|Territory Building,Area Control / Area Influence|#|Area Movement|#|Set Collection|#|Time Track,Atlantis|#|Country: Greece|#|Ystari originals,7019,2149,1.25
2006,2–5,45,10+,2.49,Factory Fun,Industry / Manufacturing|#|Puzzle|#|Real-time,Modular Board|#|Tile Placement,N/A,6879,3126,1.52
1987,2–8,15–45,7+,1.31,Bausack,Action / Dexterity,Auction/Bidding,3D Games,6887,3193,1.37
2008,2,30,13+,2.89,Call of Cthulhu: The Card Game,Card Game|#|Fantasy|#|Horror|#|Novel-based,Card Drafting|#|Hand Management,Call of Cthulhu: The Card Game (LCG)|#|Cthulhu Mythos|#|Living Card Game,6998,2588,1.50
2001,2–4,30–45,8+,1.84,Wyatt Earp,American West|#|Card Game,Hand Management|#|Set Collection,Alea Small Box|#|Card Games: Draw and Discard Games|#|Gryphon Games bookshelf series|#|Mystery Rummy|#|Rummy Games,6867,3494,1.24
2010,1–4,45–90,12+,3.01,Merkator,Economic,Pick-up and Deliver|#|Set Collection,Cities: Hamburg|#|Solitaire Games,7037,2007,1.28
2015,1–4,30–60,13+,2.71,XenoShyft: Onslaught,Card Game|#|Horror|#|Science Fiction,Card Drafting|#|Co-operative Play|#|Deck / Pool Building|#|Variable Player Powers|#|Worker Placement,Crowdfunding: Kickstarter|#|Solitaire Games,7190,1654,1.36
1986,3–6,75,12+,2.83,Kremlin,Negotiation|#|Political,Secret Unit Deployment|#|Voting,Country: Russia|#|Crowdfunding: Kickstarter,6998,2409,1.54
2008,2–4,300,12+,3.31,Successors (third edition),Ancient|#|Wargame,Area Control / Area Influence|#|Campaign / Battle Card Driven|#|Dice Rolling|#|Pick-up and Deliver|#|Point to Point Movement,Country: Greece,7538,1,1.45
2011,2–6,60,12+,2.69,Power Grid: The First Sparks,Animals|#|Economic|#|Prehistoric,Area Movement|#|Card Drafting|#|Modular Board|#|Route/Network Building,Power Grid,6895,2926,1.24
2012,2–5,40,8+,1.77,Carcassonne: Winter Edition,City Building|#|Medieval,Area Control / Area Influence|#|Tile Placement,Carcassonne,7517,1014,1.25
2006,2–6,180,12+,3.49,Warrior Knights,Medieval|#|Negotiation|#|Political|#|Wargame,Area Movement|#|Auction/Bidding|#|Campaign / Battle Card Driven|#|Simultaneous Action Selection|#|Voting,4X games,6881,3375,1.46
2005,2,45,8+,2.00,Roma,Ancient|#|Card Game|#|Dice,Action Point Allowance System|#|Card Drafting|#|Dice Rolling|#|Hand Management,Ancient Rome|#|Cities: Rome|#|Queen Small Box,6827,3955,1.28
2013,2–4,30,10+,1.23,Welcome to the Dungeon,Bluffing|#|Card Game|#|Fantasy|#|Fighting,Memory|#|Player Elimination|#|Press Your Luck,IELLO: Mini Games,6788,4525,1.18
2015,2–5,15–30,13+,2.94,Mottainai,Card Game,Card Drafting|#|Hand Management|#|Set Collection|#|Variable Phase Order,Tableau Building,7094,1739,1.51
1983,2,1200,12+,3.78,The Civil War,American Civil War|#|Civil War|#|Post-Napoleonic|#|Wargame,Dice Rolling|#|Hex-and-Counter|#|Simulation,N/A,7668,932,1.52
2011,1–4,60,13+,2.29,Rune Age,Card Game|#|Fantasy,Co-operative Play|#|Deck / Pool Building|#|Dice Rolling|#|Hand Management|#|Variable Player Powers,The Realms of Terrinoth,6872,3445,1.34
2012,1–4,45,14+,2.05,D-Day Dice,Dice|#|Wargame|#|World War II,Co-operative Play|#|Dice Rolling|#|Simultaneous Action Selection,Country: France|#|Crowdfunding: Kickstarter|#|Games by the Game Artisans of Canada|#|RWB Series|#|Solitaire Games|#|Solitaire Wargames|#|Valley Games Tactics Line,6889,291,1.32
1996,3–6,360,12+,3.86,Age of Renaissance,Civilization|#|Economic|#|Medieval|#|Renaissance,Area Movement|#|Auction/Bidding,Cities: Genova|#|Cities: Naples,7100,1917,1.75
2002,3–4,60,8+,2.57,Himalaya,Economic|#|Medieval|#|Political,Action / Movement Programming|#|Area Control / Area Influence|#|Pick-up and Deliver|#|Set Collection|#|Simultaneous Action Selection,Admin: Better Description Needed!|#|Asian Theme|#|Tilsit Collection,7032,1917,1.25
2013,2–8,150,12+,3.34,Duel of Ages II,Adventure|#|Fantasy|#|Fighting|#|Science Fiction|#|Wargame,Grid Movement|#|Hex-and-Counter|#|Modular Board|#|Partnerships|#|Variable Player Powers,Duel of Ages,7623,947,1.88
1995,2–4,30,12+,3.07,Necromunda,Fighting|#|Miniatures|#|Science Fiction|#|Wargame,Dice Rolling|#|Modular Board|#|Role Playing|#|Secret Unit Deployment|#|Variable Player Powers,Cyberpunk|#|Games Workshop Specialist Games|#|Warhammer 40000 Wargames,7249,1529,1.55
2013,1–4,20–35,12+,1.76,Gravwell: Escape from the 9th Dimension,Card Game|#|Racing|#|Science Fiction,Action / Movement Programming|#|Card Drafting|#|Point to Point Movement|#|Simultaneous Action Selection,Mensa Select,7045,1992,1.23
1995,2–6,45,14+,1.95,Condottiere,Bluffing|#|Card Game|#|Medieval|#|Negotiation,Area Control / Area Influence|#|Auction/Bidding|#|Hand Management,Admin: Better Description Needed!|#|Country: Italy|#|Fantasy Flight Silver Line Games,6732,6078,1.31
2016,2–4,60–90,14+,2.97,Inis,Ancient|#|Card Game|#|Mythology,Area Control / Area Influence|#|Area Movement|#|Card Drafting|#|Deck / Pool Building|#|Hand Management|#|Memory|#|Tile Placement,Admin: Better Description Needed!|#|Admin: Unreleased Games,7794,853,1.58
2004,2–4,90,12+,2.92,Ys,Bluffing|#|Medieval,Area Control / Area Influence|#|Auction/Bidding|#|Commodity Speculation,Ystari originals,6949,2324,1.29
1995,3–5,15–30,10+,1.55,High Society,Card Game,Auction/Bidding,Gryphon Games bookshelf series,6778,4246,1.23
2009,2–8,15,7+,1.04,Spot it!,Card Game|#|Children's Game|#|Educational|#|Party Game|#|Real-time|#|Sports,Pattern Recognition,Holidays: Halloween|#|Islands: Corsica|#|Sports: Baseball|#|Sports: Golf|#|Sports: NHL|#|Spot it!,6758,5433,1.40
2016,2–4,60,14+,2.43,Tyrants of the Underdark,Fantasy,Area Control / Area Influence|#|Deck / Pool Building,Dungeons & Dragons,8030,673,1.16
2004,2,30,12+,2.17,Blue Moon,Card Game|#|Fantasy|#|Fighting,Auction/Bidding|#|Hand Management|#|Variable Player Powers,Blue Moon Series|#|Kosmos two-player series,6758,4954,1.49
2003,2–4,15,7+,1.75,Blokus 3D,Abstract Strategy|#|Territory Building,Area Enclosure|#|Hand Management|#|Tile Placement,3D Games|#|Blokus Series|#|Mensa Select,6837,3366,1.19
2008,3–5,90,10+,2.96,Giants,N/A,Auction/Bidding|#|Pick-up and Deliver|#|Route/Network Building|#|Worker Placement,Country: Chile|#|Tropical theme,7003,2042,1.24
1999,3–4,120,12+,2.58,Starfarers of Catan,Exploration|#|Negotiation|#|Science Fiction|#|Space Exploration,Trading,Admin: Better Description Needed!|#|Catan,6815,4307,1.46
2014,2–4,120–240,12+,4.48,Arkwright,Economic|#|Industry / Manufacturing,Commodity Speculation|#|Simulation|#|Stock Holding|#|Variable Phase Order|#|Worker Placement,N/A,7910,668,1.47
2016,1–5,60–90,13+,2.45,The Networks,Economic|#|Movies / TV / Radio theme,Card Drafting,Crowdfunding: Kickstarter,7518,104,1.09
2013,2–13,30,10+,1.52,Mascarade,Bluffing|#|Medieval|#|Party Game,Memory|#|Variable Player Powers,N/A,6741,5633,1.37
2013,1–2,120,12+,2.56,The Hunters: German U-Boats at War 1939-43,Wargame|#|World War II,Dice Rolling|#|Simulation,Campaign Games|#|Solitaire Games|#|Solitaire Wargames|#|Underwater War,7750,832,1.40
2009,2–4,15,6+,1.28,The Magic Labyrinth,Children's Game|#|Fantasy|#|Maze|#|Memory,Dice Rolling|#|Grid Movement|#|Memory|#|Roll / Spin and Move|#|Route/Network Building,N/A,6914,2643,1.18
2000,2–5,45,8+,1.62,Cartagena,Pirates|#|Racing,Hand Management|#|Modular Board,Cartagena,6709,6387,1.18
2014,2–5,90,13+,3.05,The Staufer Dynasty,Medieval,Area Control / Area Influence|#|Card Drafting|#|Modular Board|#|Pattern Building|#|Set Collection,Country: Holy Roman Empire,7274,1223,1.17
2005,4–6,30,10+,1.28,Ca$h 'n Gun$,Bluffing|#|Card Game|#|Fighting|#|Humor|#|Mafia|#|Negotiation|#|Party Game,Player Elimination|#|Simultaneous Action Selection|#|Variable Player Powers,Ca$h 'n Gun$,6672,8588,1.34
2010,2–4,40–90,10+,3.10,51st State,Card Game|#|City Building|#|Economic|#|Science Fiction,Card Drafting|#|Hand Management|#|Variable Player Powers,From RPG books to board games|#|Neuroshima|#|Tableau Building,6945,2408,1.47
2006,2–4,20,7+,1.96,Blokus Trigon,Abstract Strategy|#|Territory Building,Area Enclosure|#|Hand Management|#|Tile Placement,Blokus Series|#|Solitaire Games,6941,2391,1.23
2004,3–10,30,8+,1.34,Saboteur,Bluffing|#|Card Game|#|Exploration|#|Party Game,Hand Management|#|Partnerships|#|Route/Network Building|#|Take That,Saboteur,6648,15426,1.26
2010,2–8,15,8+,1.12,Timeline: Inventions,Card Game|#|Educational,N/A,Timeline,6767,4697,1.15
2000,2–4,60,12+,2.59,Carolus Magnus,Medieval,Area Control / Area Influence|#|Dice Rolling|#|Hand Management|#|Modular Board|#|Partnerships,N/A,6855,3024,1.33
2002,2–6,30,10+,1.76,Star Wars: Epic Duels,Fighting|#|Miniatures|#|Movies / TV / Radio theme|#|Science Fiction,Campaign / Battle Card Driven|#|Player Elimination|#|Roll / Spin and Move|#|Variable Player Powers,Components: Miniatures|#|Star Wars,6977,2618,1.47
2006,2,360,12+,2.59,A Victory Lost,Wargame|#|World War II,Chit-Pull System|#|Dice Rolling|#|Hex-and-Counter,Country: Russia|#|International Games Series|#|A Victory Lost Series,7667,851,1.42
2013,4–8,30,12+,2.07,Space Cadets: Dice Duel,Dice|#|Fighting|#|Real-time|#|Science Fiction|#|Space Exploration,Action / Movement Programming|#|Dice Rolling|#|Grid Movement|#|Partnerships,Space Cadets,6942,2317,1.51
1985,2–20,90,12+,3.38,BattleTech,Fighting|#|Miniatures|#|Science Fiction|#|Wargame,Dice Rolling|#|Role Playing|#|Variable Player Powers,BattleTech,6955,2776,1.56
2010,2–6,360,12+,3.39,Axis & Allies Europe 1940,Economic|#|Fighting|#|Wargame|#|World War II,Area Control / Area Influence|#|Area Movement|#|Dice Rolling|#|Partnerships,Axis & Allies,7547,1149,1.63
2012,2–6,90–150,12+,3.71,Ground Floor,City Building|#|Economic|#|Industry / Manufacturing,Worker Placement,Crowdfunding: Kickstarter|#|Games by Gamesmiths|#|TMG Originals,7197,1369,1.39
2015,4–20,60,18+,1.07,Monikers,Card Game|#|Humor|#|Mature / Adult|#|Party Game|#|Print & Play,Acting|#|Card Drafting|#|Role Playing,Crowdfunding: Kickstarter,7855,708,1.36
1992,2,240,12+,3.36,Breakout: Normandy,Wargame|#|World War II,Area-Impulse,Avalon Hill area-impulse series,7655,854,1.59
1985,2–7,6000,12+,4.60,World in Flames,Wargame|#|World War II,Area Movement|#|Dice Rolling|#|Hex-and-Counter,World in Flames,7504,1133,1.89
2009,3–5,60,13+,2.68,Ad Astra,Civilization|#|Science Fiction|#|Space Exploration,Action / Movement Programming|#|Simultaneous Action Selection|#|Trading|#|Variable Phase Order,N/A,6901,252,1.26
2013,1–6,30,13+,1.93,Room 25,Bluffing|#|Deduction|#|Exploration|#|Horror|#|Maze|#|Negotiation|#|Science Fiction,Action / Movement Programming|#|Co-operative Play|#|Grid Movement|#|Memory|#|Modular Board|#|Partnerships|#|Player Elimination|#|Simultaneous Action Selection,N/A,6844,3297,1.23
2009,2–5,45–60,12+,2.26,Arctic Scavengers,Bluffing|#|Card Game|#|Fighting,Card Drafting|#|Deck / Pool Building|#|Hand Management,Arctic Scavengers|#|Arctic Theme,6995,2045,1.31
2013,2–4,60,10+,1.85,CV,Card Game|#|Dice|#|Humor,Card Drafting|#|Dice Rolling|#|Hand Management|#|Press Your Luck|#|Set Collection,N/A,6823,3246,1.30
2009,2–4,30–45,10+,2.22,Havana,Bluffing|#|Card Game,Hand Management|#|Memory|#|Set Collection|#|Simultaneous Action Selection,Country: Cuba|#|Eggertspiele Cuba series,6900,2428,1.18
2014,1–5,60,12+,2.78,Thunderstone Advance: Worlds Collide,Card Game|#|Fantasy,Card Drafting|#|Deck / Pool Building|#|Hand Management,Solitaire Games|#|Thunderstone|#|Thunderstone Advance,7980,630,1.24
2014,3–4,60,13+,2.57,Sons of Anarchy: Men of Mayhem,Mafia|#|Movies / TV / Radio theme|#|Negotiation|#|Territory Building,Action Point Allowance System|#|Area Control / Area Influence|#|Auction/Bidding|#|Commodity Speculation|#|Dice Rolling|#|Modular Board|#|Player Elimination|#|Trading|#|Variable Player Powers|#|Worker Placement,N/A,7424,1082,1.28
2008,3–6,60,11+,2.80,Steel Driver,Trains|#|Transportation,Auction/Bidding|#|Route/Network Building|#|Stock Holding,Country: USA|#|Treefrog Line,7032,1742,1.20
2015,1–2,30,10+,2.05,Sylvion,Card Game|#|Environmental|#|Fantasy,Card Drafting|#|Co-operative Play|#|Hand Management,Oniverse|#|Solitaire Games,7333,1124,1.11
1983,2–7,6000–12000,14+,4.44,Empires in Arms,Economic|#|Napoleonic|#|Negotiation|#|Political|#|Wargame,Area Movement|#|Dice Rolling|#|Secret Unit Deployment|#|Simulation|#|Variable Player Powers,N/A,7525,1053,1.78
2010,2,45,12+,2.07,Battle Cry: 150th Civil War Anniversary Edition,American Civil War|#|Civil War|#|Wargame,Campaign / Battle Card Driven|#|Dice Rolling|#|Hand Management|#|Modular Board,Commands & Colors,7658,843,1.28
1981,2,240,12+,2.65,A House Divided,American Civil War|#|Wargame,Dice Rolling|#|Point to Point Movement,N/A,7093,167,1.34
2014,2–4,60–75,10+,2.73,Murano,City Building|#|Economic,Area Control / Area Influence|#|Pick-up and Deliver|#|Point to Point Movement|#|Tile Placement|#|Worker Placement,Cities: Venice|#|Country: Italy,7282,115,1.12
2003,2,30,8+,1.46,Balloon Cup,Aviation / Flight|#|Card Game,Hand Management|#|Set Collection,Balloons|#|Kosmos two-player series,6714,5043,1.22
2014,2–4,90,13+,2.75,The Ancient World,Ancient|#|Civilization|#|Fantasy,Card Drafting|#|Dice Rolling|#|Set Collection|#|Worker Placement,The Ancient World|#|Crowdfunding: Kickstarter,7262,1234,1.13
2005,3–8,30,8+,1.12,Diamant,Adventure|#|Bluffing,Press Your Luck|#|Simultaneous Action Selection,Archaeology,6719,4787,1.24
2011,2–4,90,12+,3.04,Helvetia,City Building,Action Point Allowance System|#|Area Control / Area Influence|#|Worker Placement,Country: Switzerland,7056,1609,1.23
2014,3–6,15,14+,1.96,Coup: Rebellion G54,Bluffing|#|Card Game|#|Deduction|#|Negotiation|#|Political,Player Elimination|#|Take That|#|Variable Player Powers,Country: Guatemala|#|Crowdfunding: Kickstarter|#|Dystopian Universe,7266,1245,1.38
2015,2–4,75,10+,2.78,Kraftwagen,Economic|#|Industry / Manufacturing,Time Track,Automotive|#|Stronghold Games: The Great Designer Series,7408,992,1.13
2008,2–4,75,10+,2.62,Diamonds Club,Economic|#|Industry / Manufacturing,Set Collection|#|Worker Placement,N/A,7085,1553,1.10
1994,3–6,60,12+,1.98,I'm the Boss!,Negotiation,Dice Rolling|#|Hand Management|#|Roll / Spin and Move|#|Set Collection|#|Take That,Admin: Better Description Needed!|#|Gryphon Family Games series,6833,2999,1.57
1979,1–16,240,12+,4.49,Magic Realm,Adventure|#|Exploration|#|Fantasy,Action / Movement Programming|#|Modular Board|#|Rock-Paper-Scissors|#|Role Playing|#|Simultaneous Action Selection|#|Variable Player Powers,Solitaire Games,7136,1673,1.96
2014,2–4,60,10+,2.38,Medina (second edition),Abstract Strategy|#|City Building,Area Control / Area Influence|#|Press Your Luck|#|Tile Placement,Country: Saudi Arabia|#|Desert Theme,7436,969,1.14
